;Model;Strategy;Sampling Strategy;Vectorizer;N-Gram;Feature Size;Accuracy;Macro-F1;Vec_N-Gram
139;FFNN (Updated);prep_masked;SMOTETomek (Combined);TF-IDF;(1, 1);7364;0.7447916666666666;0.7124426340988749;"TF-IDF
(1, 1)"
140;Naive Bayes;prep_masked;Tomek (Undersampling);BoW;(1, 1);7364;0.7239583333333334;0.6611285085429339;"BoW
(1, 1)"
141;Naive Bayes;prep_masked;Tomek (Undersampling);TF-IDF;(1, 1);7364;0.70625;0.5123192701989417;"TF-IDF
(1, 1)"
142;FFNN (Updated);prep_masked;Tomek (Undersampling);BoW;(1, 1);7364;0.765625;0.713966505360057;"BoW
(1, 1)"
143;FFNN (Updated);prep_masked;Tomek (Undersampling);TF-IDF;(1, 1);7364;0.7489583333333333;0.6933027487775729;"TF-IDF
(1, 1)"
144;Naive Bayes;prep_masked;None (Imbalanced);BoW;(1, 2);36709;0.7385416666666667;0.6556691500967112;"BoW
(1, 2)"
145;Naive Bayes;prep_masked;None (Imbalanced);TF-IDF;(1, 2);36709;0.6895833333333333;0.4813298982426398;"TF-IDF
(1, 2)"
146;FFNN (Updated);prep_masked;None (Imbalanced);BoW;(1, 2);36709;0.7645833333333333;0.7082829459136186;"BoW
(1, 2)"
147;FFNN (Updated);prep_masked;None (Imbalanced);TF-IDF;(1, 2);36709;0.7614583333333333;0.7113736522772528;"TF-IDF
(1, 2)"
148;Naive Bayes;prep_masked;SMOTE (Oversampling);BoW;(1, 2);36709;0.696875;0.6169148058514384;"BoW
(1, 2)"
149;Naive Bayes;prep_masked;SMOTE (Oversampling);TF-IDF;(1, 2);36709;0.6614583333333334;0.613442669849316;"TF-IDF
(1, 2)"
150;FFNN (Updated);prep_masked;SMOTE (Oversampling);BoW;(1, 2);36709;0.6864583333333333;0.6440964049744969;"BoW
(1, 2)"
151;FFNN (Updated);prep_masked;SMOTE (Oversampling);TF-IDF;(1, 2);36709;0.7385416666666667;0.6873668182214242;"TF-IDF
(1, 2)"
152;Naive Bayes;prep_masked;SMOTETomek (Combined);BoW;(1, 2);36709;0.696875;0.6169148058514384;"BoW
(1, 2)"
153;Naive Bayes;prep_masked;SMOTETomek (Combined);TF-IDF;(1, 2);36709;0.6604166666666667;0.6127012442249878;"TF-IDF
(1, 2)"
154;FFNN (Updated);prep_masked;SMOTETomek (Combined);BoW;(1, 2);36709;0.7072916666666667;0.6495522053036059;"BoW
(1, 2)"
155;FFNN (Updated);prep_masked;SMOTETomek (Combined);TF-IDF;(1, 2);36709;0.7427083333333333;0.6935758891679259;"TF-IDF
(1, 2)"
156;Naive Bayes;prep_masked;Tomek (Undersampling);BoW;(1, 2);36709;0.74375;0.6673005217387931;"BoW
(1, 2)"
157;Naive Bayes;prep_masked;Tomek (Undersampling);TF-IDF;(1, 2);36709;0.690625;0.4888381138548523;"TF-IDF
(1, 2)"
