;Model;Strategy;Sampling Strategy;Vectorizer;N-Gram;Feature Size;Accuracy;Macro-F1;Vec_N-Gram
141;Naive Bayes;prep_masked;Tomek (Undersampling);TF-IDF;(1, 1);7293;0.6855345911949685;0.47904602131036045;"TF-IDF
(1, 1)"
142;FFNN (Updated);prep_masked;Tomek (Undersampling);BoW;(1, 1);7293;0.7421383647798742;0.7015885988223953;"BoW
(1, 1)"
143;FFNN (Updated);prep_masked;Tomek (Undersampling);TF-IDF;(1, 1);7293;0.7180293501048218;0.6765173828838812;"TF-IDF
(1, 1)"
144;Naive Bayes;prep_masked;None (Imbalanced);BoW;(1, 2);36340;0.7253668763102725;0.6330663959485434;"BoW
(1, 2)"
145;Naive Bayes;prep_masked;None (Imbalanced);TF-IDF;(1, 2);36340;0.6886792452830188;0.4741568791383231;"TF-IDF
(1, 2)"
146;FFNN (Updated);prep_masked;None (Imbalanced);BoW;(1, 2);36340;0.7515723270440252;0.701534184269805;"BoW
(1, 2)"
147;FFNN (Updated);prep_masked;None (Imbalanced);TF-IDF;(1, 2);36340;0.7610062893081762;0.722869694228424;"TF-IDF
(1, 2)"
148;Naive Bayes;prep_masked;SMOTE (Oversampling);BoW;(1, 2);36340;0.69916142557652;0.6368513518958778;"BoW
(1, 2)"
149;Naive Bayes;prep_masked;SMOTE (Oversampling);TF-IDF;(1, 2);36340;0.6698113207547169;0.6296180898776195;"TF-IDF
(1, 2)"
150;FFNN (Updated);prep_masked;SMOTE (Oversampling);BoW;(1, 2);36340;0.7190775681341719;0.6715118638965775;"BoW
(1, 2)"
151;FFNN (Updated);prep_masked;SMOTE (Oversampling);TF-IDF;(1, 2);36340;0.7515723270440252;0.7030720245937637;"TF-IDF
(1, 2)"
152;Naive Bayes;prep_masked;SMOTETomek (Combined);BoW;(1, 2);36340;0.6981132075471698;0.6342872493317753;"BoW
(1, 2)"
153;Naive Bayes;prep_masked;SMOTETomek (Combined);TF-IDF;(1, 2);36340;0.6687631027253669;0.6285239127072796;"TF-IDF
(1, 2)"
154;FFNN (Updated);prep_masked;SMOTETomek (Combined);BoW;(1, 2);36340;0.7337526205450734;0.678364117907078;"BoW
(1, 2)"
155;FFNN (Updated);prep_masked;SMOTETomek (Combined);TF-IDF;(1, 2);36340;0.7620545073375262;0.7105739376233665;"TF-IDF
(1, 2)"
156;Naive Bayes;prep_masked;Tomek (Undersampling);BoW;(1, 2);36340;0.7232704402515723;0.6304566719952772;"BoW
(1, 2)"
157;Naive Bayes;prep_masked;Tomek (Undersampling);TF-IDF;(1, 2);36340;0.689727463312369;0.4818517199833347;"TF-IDF
(1, 2)"
158;FFNN (Updated);prep_masked;Tomek (Undersampling);BoW;(1, 2);36340;0.7683438155136268;0.716945517061406;"BoW
(1, 2)"
159;FFNN (Updated);prep_masked;Tomek (Undersampling);TF-IDF;(1, 2);36340;0.7620545073375262;0.7244813456853572;"TF-IDF
(1, 2)"
160;Naive Bayes;prep_masked;None (Imbalanced);BoW;(1, 3);68464;0.7316561844863732;0.6405039248342609;"BoW
(1, 3)"
161;Naive Bayes;prep_masked;None (Imbalanced);TF-IDF;(1, 3);68464;0.6886792452830188;0.474225272215222;"TF-IDF
(1, 3)"
162;FFNN (Updated);prep_masked;None (Imbalanced);BoW;(1, 3);68464;0.7536687631027253;0.6836244370070702;"BoW
(1, 3)"
163;FFNN (Updated);prep_masked;None (Imbalanced);TF-IDF;(1, 3);68464;0.7589098532494759;0.7156633904712563;"TF-IDF
(1, 3)"
164;Naive Bayes;prep_masked;SMOTE (Oversampling);BoW;(1, 3);68464;0.7033542976939203;0.6324579011932642;"BoW
(1, 3)"
165;Naive Bayes;prep_masked;SMOTE (Oversampling);TF-IDF;(1, 3);68464;0.6708595387840671;0.6311093451482286;"TF-IDF
(1, 3)"
166;FFNN (Updated);prep_masked;SMOTE (Oversampling);BoW;(1, 3);68464;0.709643605870021;0.6542281160002679;"BoW
(1, 3)"
167;FFNN (Updated);prep_masked;SMOTE (Oversampling);TF-IDF;(1, 3);68464;0.7568134171907757;0.705977405039285;"TF-IDF
(1, 3)"
168;Naive Bayes;prep_masked;SMOTETomek (Combined);BoW;(1, 3);68464;0.7044025157232704;0.6348635963625697;"BoW
(1, 3)"
169;Naive Bayes;prep_masked;SMOTETomek (Combined);TF-IDF;(1, 3);68464;0.6708595387840671;0.6311093451482286;"TF-IDF
(1, 3)"
170;FFNN (Updated);prep_masked;SMOTETomek (Combined);BoW;(1, 3);68464;0.7044025157232704;0.6524236568076648;"BoW
(1, 3)"
