;Model;Strategy;Vectorizer;N-Gram;Sampling Strategy;Accuracy;Macro-F1;Sampled_Hyperparameters;Vec_N-Gram
78;Naive Bayes;prep_full;BoW;(1, 2);Tomek (Undersampling);0.6977964323189927;0.6359766461530918;{'alpha': 0.1, 'fit_prior': True};"BoW
(1, 2)"
79;FFNN;prep_full;BoW;(1, 2);Tomek (Undersampling);0.7597061909758657;0.709337754589651;{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 2)"
80;Naive Bayes;prep_full;BoW;(1, 3);None (Imbalanced);0.7040923399790137;0.6523508658419305;{'alpha': 1.0, 'fit_prior': False};"BoW
(1, 3)"
81;FFNN;prep_full;BoW;(1, 3);None (Imbalanced);0.7439664218258132;0.6899317557247908;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 3)"
82;Naive Bayes;prep_full;BoW;(1, 3);SMOTE (Oversampling);0.70199370409234;0.6441649664641877;{'alpha': 0.5, 'fit_prior': False};"BoW
(1, 3)"
83;FFNN;prep_full;BoW;(1, 3);SMOTE (Oversampling);0.6663168940188877;0.6138293242636985;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 3)"
84;Naive Bayes;prep_full;BoW;(1, 3);SMOTETomek (Combined);0.7040923399790137;0.6428051405157942;{'alpha': 1.0, 'fit_prior': False};"BoW
(1, 3)"
85;FFNN;prep_full;BoW;(1, 3);SMOTETomek (Combined);0.6873032528856243;0.6323787950722172;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 3)"
86;Naive Bayes;prep_full;BoW;(1, 3);Tomek (Undersampling);0.7187827911857293;0.6441130850743;{'alpha': 1.0, 'fit_prior': True};"BoW
(1, 3)"
87;FFNN;prep_full;BoW;(1, 3);Tomek (Undersampling);0.7492130115424974;0.6912982309876767;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 3)"
88;Naive Bayes;prep_full;BoW;(1, 4);None (Imbalanced);0.7229800629590766;0.6518287761958648;{'alpha': 1.0, 'fit_prior': True};"BoW
(1, 4)"
89;FFNN;prep_full;BoW;(1, 4);None (Imbalanced);0.7387198321091291;0.6897555865510808;{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 4)"
90;Naive Bayes;prep_full;BoW;(1, 4);SMOTE (Oversampling);0.6799580272822665;0.5957091851727493;{'alpha': 0.01, 'fit_prior': False};"BoW
(1, 4)"
91;FFNN;prep_full;BoW;(1, 4);SMOTE (Oversampling);0.6935991605456453;0.6378496420718639;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 4)"
92;Naive Bayes;prep_full;BoW;(1, 4);SMOTETomek (Combined);0.6977964323189927;0.6384485973287374;{'alpha': 0.5, 'fit_prior': False};"BoW
(1, 4)"
93;FFNN;prep_full;BoW;(1, 4);SMOTETomek (Combined);0.6747114375655824;0.621785048661645;{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 4)"
94;Naive Bayes;prep_full;BoW;(1, 4);Tomek (Undersampling);0.6967471143756558;0.635030617563999;{'alpha': 0.1, 'fit_prior': True};"BoW
(1, 4)"
95;FFNN;prep_full;BoW;(1, 4);Tomek (Undersampling);0.7397691500524659;0.6828852399365074;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 4)"
96;Naive Bayes;prep_full;TF-IDF;(1, 1);None (Imbalanced);0.6904512067156349;0.5791778176444323;{'alpha': 0.01, 'fit_prior': True};"TF-IDF
(1, 1)"
97;FFNN;prep_full;TF-IDF;(1, 1);None (Imbalanced);0.7523609653725079;0.684601848628998;{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"TF-IDF
(1, 1)"
98;Naive Bayes;prep_full;TF-IDF;(1, 1);SMOTE (Oversampling);0.6621196222455404;0.6172954037996812;{'alpha': 0.5, 'fit_prior': False};"TF-IDF
(1, 1)"
99;FFNN;prep_full;TF-IDF;(1, 1);SMOTE (Oversampling);0.7282266526757608;0.6818570442519953;{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"TF-IDF
(1, 1)"
100;Naive Bayes;prep_full;TF-IDF;(1, 1);SMOTETomek (Combined);0.6684155299055614;0.6251273848313899;{'alpha': 1.0, 'fit_prior': False};"TF-IDF
(1, 1)"
101;FFNN;prep_full;TF-IDF;(1, 1);SMOTETomek (Combined);0.7261280167890871;0.6817629097343606;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"TF-IDF
(1, 1)"
102;Naive Bayes;prep_full;TF-IDF;(1, 1);Tomek (Undersampling);0.6736621196222455;0.6256810242062553;{'alpha': 0.1, 'fit_prior': False};"TF-IDF
(1, 1)"
103;FFNN;prep_full;TF-IDF;(1, 1);Tomek (Undersampling);0.7376705141657922;0.6972512867249709;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"TF-IDF
(1, 1)"
104;Naive Bayes;prep_full;TF-IDF;(1, 2);None (Imbalanced);0.6998950682056663;0.6467493331704438;{'alpha': 0.5, 'fit_prior': False};"TF-IDF
(1, 2)"
