;Model;Strategy;Vectorizer;N-Gram;Sampling Strategy;Accuracy;Macro-F1;Sampled_Hyperparameters;Vec_N-Gram
63;Naive Bayes;prep_standard;BoW;(1, 1);Tomek (Undersampling);0.6495278069254984;0.606184036001217;{'alpha': 0.5, 'fit_prior': False};"BoW
(1, 1)"
64;Naive Bayes;prep_standard;BoW;(1, 1);Tomek (Undersampling);0.646379853095488;0.588975303861035;{'alpha': 0.1, 'fit_prior': True};"BoW
(1, 1)"
65;Naive Bayes;prep_standard;BoW;(1, 1);Tomek (Undersampling);0.6348373557187827;0.5690221926878788;{'alpha': 0.01, 'fit_prior': True};"BoW
(1, 1)"
66;Naive Bayes;prep_standard;BoW;(1, 1);Tomek (Undersampling);0.664218258132214;0.62332679920092;{'alpha': 1.0, 'fit_prior': False};"BoW
(1, 1)"
67;Naive Bayes;prep_standard;BoW;(1, 1);Tomek (Undersampling);0.683105981112277;0.6256862362749146;{'alpha': 0.5, 'fit_prior': True};"BoW
(1, 1)"
68;Naive Bayes;prep_standard;BoW;(1, 1);Tomek (Undersampling);0.6495278069254984;0.606184036001217;{'alpha': 0.5, 'fit_prior': False};"BoW
(1, 1)"
69;Naive Bayes;prep_standard;BoW;(1, 1);Tomek (Undersampling);0.664218258132214;0.62332679920092;{'alpha': 1.0, 'fit_prior': False};"BoW
(1, 1)"
70;FFNN;prep_standard;BoW;(1, 1);Tomek (Undersampling);0.7334732423924449;0.6886339529510607;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 1)"
71;FFNN;prep_standard;BoW;(1, 1);Tomek (Undersampling);0.7313746065057712;0.6806486589941629;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 1)"
72;FFNN;prep_standard;BoW;(1, 1);Tomek (Undersampling);0.7376705141657922;0.6897533912643211;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 1)"
73;FFNN;prep_standard;BoW;(1, 1);Tomek (Undersampling);0.7460650577124869;0.6953444445704507;{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 1)"
74;FFNN;prep_standard;BoW;(1, 1);Tomek (Undersampling);0.7282266526757608;0.6830916726442265;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 1)"
75;FFNN;prep_standard;BoW;(1, 1);Tomek (Undersampling);0.7397691500524659;0.6894095229497413;{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 1)"
76;FFNN;prep_standard;BoW;(1, 1);Tomek (Undersampling);0.7324239244491081;0.6798353602551801;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 1)"
77;FFNN;prep_standard;BoW;(1, 1);Tomek (Undersampling);0.7334732423924449;0.6886339529510607;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 1)"
78;FFNN;prep_standard;BoW;(1, 1);Tomek (Undersampling);0.727177334732424;0.6801169631558991;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 1)"
79;FFNN;prep_standard;BoW;(1, 1);Tomek (Undersampling);0.7376705141657922;0.6933464146482047;{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 1)"
80;Naive Bayes;prep_standard;BoW;(1, 2);None (Imbalanced);0.6946484784889821;0.6441632320877604;{'alpha': 1.0, 'fit_prior': False};"BoW
(1, 2)"
81;Naive Bayes;prep_standard;BoW;(1, 2);None (Imbalanced);0.6789087093389297;0.6237632438679421;{'alpha': 0.1, 'fit_prior': False};"BoW
(1, 2)"
82;Naive Bayes;prep_standard;BoW;(1, 2);None (Imbalanced);0.7145855194123819;0.6402740632008207;{'alpha': 1.0, 'fit_prior': True};"BoW
(1, 2)"
83;Naive Bayes;prep_standard;BoW;(1, 2);None (Imbalanced);0.6841552990556139;0.6315150981762456;{'alpha': 0.5, 'fit_prior': False};"BoW
(1, 2)"
84;Naive Bayes;prep_standard;BoW;(1, 2);None (Imbalanced);0.6726128016789087;0.6052418405678248;{'alpha': 0.01, 'fit_prior': False};"BoW
(1, 2)"
85;Naive Bayes;prep_standard;BoW;(1, 2);None (Imbalanced);0.6789087093389297;0.6237632438679421;{'alpha': 0.1, 'fit_prior': False};"BoW
(1, 2)"
86;Naive Bayes;prep_standard;BoW;(1, 2);None (Imbalanced);0.6841552990556139;0.6315150981762456;{'alpha': 0.5, 'fit_prior': False};"BoW
(1, 2)"
87;Naive Bayes;prep_standard;BoW;(1, 2);None (Imbalanced);0.683105981112277;0.6026646430930096;{'alpha': 0.01, 'fit_prior': True};"BoW
(1, 2)"
88;Naive Bayes;prep_standard;BoW;(1, 2);None (Imbalanced);0.6904512067156349;0.6191874163917865;{'alpha': 0.1, 'fit_prior': True};"BoW
(1, 2)"
89;Naive Bayes;prep_standard;BoW;(1, 2);None (Imbalanced);0.7145855194123819;0.6402740632008207;{'alpha': 1.0, 'fit_prior': True};"BoW
(1, 2)"
90;FFNN;prep_standard;BoW;(1, 2);None (Imbalanced);0.7397691500524659;0.6865928544829208;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 2)"
91;FFNN;prep_standard;BoW;(1, 2);None (Imbalanced);0.7345225603357818;0.6806596746697089;{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 2)"
92;FFNN;prep_standard;BoW;(1, 2);None (Imbalanced);0.7418677859391396;0.6868316652998893;{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 2)"
93;FFNN;prep_standard;BoW;(1, 2);None (Imbalanced);0.7481636935991606;0.6951527699131326;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 2)"
94;FFNN;prep_standard;BoW;(1, 2);None (Imbalanced);0.7555089192025184;0.7057400671099666;{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 2)"
